    Finished `release` profile [optimized] target(s) in 0.08s
     Running tests/reproduce_64x64.rs (target/release/deps/reproduce_64x64-1425916a01476efb)

running 1 test
Generated test_64_ref.j2k: 2224 bytes
[MQ] Symbol #350: d=0, cx=17
[MQ] Symbol #351: d=0, cx=17
[MQ] Symbol #352: d=0, cx=17
[MQ] Symbol #353: d=0, cx=17
[MQ] Symbol #354: d=0, cx=17
[MQ] Symbol #355: d=0, cx=17
[MQ] Symbol #356: d=0, cx=17
[MQ] Symbol #357: d=0, cx=17
[MQ] Symbol #358: d=0, cx=17
[MQ] Symbol #359: d=0, cx=17
[MQ] Symbol #360: d=0, cx=17
[MQ] Symbol #361: d=0, cx=17
[MQ] Symbol #362: d=0, cx=17
[MQ] Symbol #363: d=0, cx=17
[MQ] Symbol #364: d=0, cx=17
[MQ] Symbol #365: d=0, cx=17
[MQ] Symbol #366: d=0, cx=17
[MQ] Symbol #367: d=0, cx=17
[MQ] Symbol #368: d=0, cx=17
[MQ] Symbol #369: d=0, cx=17
[MQ] Symbol #370: d=0, cx=17
[MQ] Symbol #371: d=0, cx=17
[MQ] Symbol #372: d=0, cx=17
[MQ] Symbol #373: d=0, cx=17
[MQ] Symbol #374: d=0, cx=17
[MQ] Symbol #375: d=0, cx=17
[MQ] Symbol #376: d=0, cx=17
[MQ] Symbol #377: d=0, cx=17
[MQ] Symbol #378: d=0, cx=17
[MQ] Symbol #379: d=0, cx=17
[MQ] Symbol #380: d=0, cx=17
[MQ] Symbol #381: d=0, cx=17
[MQ] Symbol #382: d=0, cx=17
[MQ] Symbol #383: d=0, cx=17
[MQ] Symbol #384: d=0, cx=17
[MQ] Symbol #385: d=0, cx=17
[MQ] Symbol #386: d=0, cx=17
[MQ] Symbol #387: d=0, cx=17
[MQ] Symbol #388: d=0, cx=17
[MQ] Symbol #389: d=0, cx=17
[MQ] Symbol #390: d=0, cx=17
[MQ] Symbol #391: d=0, cx=17
[MQ] Symbol #392: d=0, cx=17
[MQ] Symbol #393: d=0, cx=17
[MQ] Symbol #394: d=0, cx=17
[MQ] Symbol #395: d=0, cx=17
[MQ] Symbol #396: d=0, cx=17
[MQ] Symbol #397: d=0, cx=17
[MQ] Symbol #398: d=0, cx=17
[MQ] Symbol #399: d=0, cx=17
[MQ] Symbol #400: d=0, cx=17
[MQ] Symbol #401: d=0, cx=17
[MQ] Symbol #402: d=0, cx=17
[MQ] Symbol #403: d=0, cx=17
[MQ] Symbol #404: d=0, cx=17
[MQ] Symbol #405: d=0, cx=17
[MQ] Symbol #406: d=0, cx=17
[MQ] Symbol #407: d=0, cx=17
[MQ] Symbol #408: d=0, cx=17
[MQ] Symbol #409: d=0, cx=17
[MQ] Symbol #410: d=0, cx=17
[MQ] Symbol #411: d=0, cx=17
[MQ] Symbol #412: d=0, cx=17
[MQ] Symbol #413: d=0, cx=17
[MQ] Symbol #414: d=0, cx=17
[MQ] Symbol #415: d=0, cx=17
[MQ] Symbol #416: d=0, cx=17
[MQ] Symbol #417: d=0, cx=17
[MQ] Symbol #418: d=0, cx=17
[MQ] Symbol #419: d=0, cx=17
[MQ] Symbol #420: d=0, cx=17
[MQ] Symbol #421: d=0, cx=17
[MQ] Symbol #422: d=0, cx=17
[MQ] Symbol #423: d=0, cx=17
[MQ] Symbol #424: d=0, cx=17
[MQ] Symbol #425: d=0, cx=17
[MQ] Symbol #426: d=0, cx=17
[MQ] Symbol #427: d=0, cx=17
[MQ] Symbol #428: d=0, cx=17
[MQ] Symbol #429: d=0, cx=17
[MQ] Symbol #430: d=0, cx=17
[MQ] Symbol #431: d=0, cx=17
[MQ] Symbol #432: d=0, cx=17
[MQ] Symbol #433: d=0, cx=17
[MQ] Symbol #434: d=0, cx=17
[MQ] Symbol #435: d=0, cx=17
[MQ] Symbol #436: d=0, cx=17
[MQ] Symbol #437: d=0, cx=17
[MQ] Symbol #438: d=0, cx=17
[MQ] Symbol #439: d=0, cx=17
[MQ] Symbol #440: d=0, cx=17
[MQ] Symbol #441: d=0, cx=17
[MQ] Symbol #442: d=0, cx=17
[MQ] Symbol #443: d=0, cx=17
[MQ] Symbol #444: d=0, cx=17
[MQ] Symbol #445: d=0, cx=17
[MQ] Symbol #446: d=0, cx=17
[MQ] Symbol #447: d=0, cx=17
[MQ] Symbol #448: d=0, cx=17
[MQ] Symbol #449: d=0, cx=17
[MQ] Symbol #450: d=0, cx=17
[MQ] Symbol #451: d=0, cx=17
[MQ] Symbol #452: d=0, cx=17
[MQ] Symbol #453: d=0, cx=17
[MQ] Symbol #454: d=0, cx=17
[MQ] Symbol #455: d=0, cx=17
[MQ] Symbol #456: d=0, cx=17
[MQ] Symbol #457: d=0, cx=17
[MQ] Symbol #458: d=0, cx=17
[MQ] Symbol #459: d=0, cx=17
[MQ] Symbol #460: d=0, cx=17
[MQ] Symbol #461: d=0, cx=17
[MQ] Symbol #462: d=0, cx=17
[MQ] Symbol #463: d=0, cx=17
[MQ] Symbol #464: d=0, cx=17
[MQ] Symbol #465: d=0, cx=17
[MQ] Symbol #466: d=0, cx=17
[MQ] Symbol #467: d=0, cx=17
[MQ] Symbol #468: d=0, cx=17
[MQ] Symbol #469: d=0, cx=17
[MQ] Symbol #470: d=0, cx=17
[MQ] Symbol #471: d=0, cx=17
[MQ] Symbol #472: d=0, cx=17
[MQ] Symbol #473: d=0, cx=17
[MQ] Symbol #474: d=0, cx=17
[MQ] Symbol #475: d=0, cx=17
[MQ] Symbol #476: d=0, cx=17
[MQ] Symbol #477: d=0, cx=17
[MQ] Symbol #478: d=0, cx=17
[MQ] Symbol #479: d=0, cx=17
[MQ] Symbol #480: d=0, cx=17
[MQ] Symbol #481: d=0, cx=17
[MQ] Symbol #482: d=0, cx=17
[MQ] Symbol #483: d=0, cx=17
[MQ] Symbol #484: d=0, cx=17
[MQ] Symbol #485: d=0, cx=17
[MQ] Symbol #486: d=0, cx=17
[MQ] Symbol #487: d=0, cx=17
[MQ] Symbol #488: d=0, cx=17
[MQ] Symbol #489: d=0, cx=17
[MQ] Symbol #490: d=0, cx=17
[MQ] Symbol #491: d=0, cx=17
[MQ] Symbol #492: d=0, cx=17
[MQ] Symbol #493: d=0, cx=17
[MQ] Symbol #494: d=0, cx=17
[MQ] Symbol #495: d=0, cx=17
[MQ] Symbol #496: d=0, cx=17
[MQ] Symbol #497: d=0, cx=17
[MQ] Symbol #498: d=0, cx=17
[MQ] Symbol #499: d=0, cx=17
[MQ] Symbol #500: d=0, cx=17
[MQ] Symbol #501: d=0, cx=17
[MQ] Symbol #502: d=0, cx=17
[MQ] Symbol #503: d=0, cx=17
[MQ] Symbol #504: d=0, cx=17
[MQ] Symbol #505: d=0, cx=17
[MQ] Symbol #506: d=0, cx=17
[MQ] Symbol #507: d=0, cx=17
[MQ] Symbol #508: d=0, cx=17
[MQ] Symbol #509: d=0, cx=17
[MQ] Symbol #510: d=0, cx=17
[MQ] Symbol #511: d=0, cx=17
[MQ] Symbol #512: d=0, cx=17
[MQ] Symbol #513: d=0, cx=17
[MQ] Symbol #514: d=0, cx=17
[MQ] Symbol #515: d=0, cx=17
[MQ] Symbol #516: d=0, cx=17
[MQ] Symbol #517: d=0, cx=17
[MQ] Symbol #518: d=0, cx=17
[MQ] Symbol #519: d=0, cx=17
[MQ] Symbol #520: d=0, cx=17
[MQ] Symbol #521: d=0, cx=17
[MQ] Symbol #522: d=0, cx=17
[MQ] Symbol #523: d=0, cx=17
[MQ] Symbol #524: d=0, cx=17
[MQ] Symbol #525: d=0, cx=17
[MQ] Symbol #526: d=0, cx=17
[MQ] Symbol #527: d=0, cx=17
[MQ] Symbol #528: d=0, cx=17
[MQ] Symbol #529: d=0, cx=17
[MQ] Symbol #530: d=0, cx=17
[MQ] Symbol #531: d=0, cx=17
[MQ] Symbol #532: d=0, cx=17
[MQ] Symbol #533: d=0, cx=17
[MQ] Symbol #534: d=0, cx=17
[MQ] Symbol #535: d=0, cx=17
[MQ] Symbol #536: d=0, cx=17
[MQ] Symbol #537: d=0, cx=17
[MQ] Symbol #538: d=0, cx=17
[MQ] Symbol #539: d=0, cx=17
[MQ] Symbol #540: d=0, cx=17
[MQ] Symbol #541: d=0, cx=17
[MQ] Symbol #542: d=0, cx=17
[MQ] Symbol #543: d=0, cx=17
[MQ] Symbol #544: d=0, cx=17
[MQ] Symbol #545: d=0, cx=17
[MQ] Symbol #546: d=0, cx=17
[MQ] Symbol #547: d=0, cx=17
[MQ] Symbol #548: d=0, cx=17
[MQ] Symbol #549: d=0, cx=17
[MQ] Symbol #550: d=0, cx=17
[MQ] Symbol #551: d=0, cx=17
[MQ] Symbol #552: d=0, cx=17
[MQ] Symbol #553: d=0, cx=17
[MQ] Symbol #554: d=0, cx=17
[MQ] Symbol #555: d=0, cx=17
[MQ] Symbol #556: d=0, cx=17
[MQ] Symbol #557: d=0, cx=17
[MQ] Symbol #558: d=0, cx=17
[MQ] Symbol #559: d=0, cx=17
[MQ] Symbol #560: d=0, cx=17
[MQ] Symbol #561: d=0, cx=17
[MQ] Symbol #562: d=0, cx=17
[MQ] Symbol #563: d=0, cx=17
[MQ] Symbol #564: d=0, cx=17
[MQ] Symbol #565: d=0, cx=17
[MQ] Symbol #566: d=0, cx=17
[MQ] Symbol #567: d=0, cx=17
[MQ] Symbol #568: d=0, cx=17
[MQ] Symbol #569: d=0, cx=17
[MQ] Symbol #570: d=0, cx=17
[MQ] Symbol #571: d=0, cx=17
[MQ] Symbol #572: d=0, cx=17
[MQ] Symbol #573: d=0, cx=17
[MQ] Symbol #574: d=0, cx=17
[MQ] Symbol #575: d=0, cx=17
[MQ] Symbol #576: d=0, cx=17
[MQ] Symbol #577: d=0, cx=17
[MQ] Symbol #578: d=0, cx=17
[MQ] Symbol #579: d=0, cx=17
[MQ] Symbol #580: d=0, cx=17
[MQ] Symbol #581: d=0, cx=17
[MQ] Symbol #582: d=0, cx=17
[MQ] Symbol #583: d=0, cx=17
[MQ] Symbol #584: d=0, cx=17
[MQ] Symbol #585: d=0, cx=17
[MQ] Symbol #586: d=0, cx=17
[MQ] Symbol #587: d=0, cx=17
[MQ] Symbol #588: d=0, cx=17
[MQ] Symbol #589: d=0, cx=17
[MQ] Symbol #590: d=0, cx=17
[MQ] Symbol #591: d=0, cx=17
[MQ] Symbol #592: d=0, cx=17
[MQ] Symbol #593: d=0, cx=17
[MQ] Symbol #594: d=0, cx=17
[MQ] Symbol #595: d=0, cx=17
[MQ] Symbol #596: d=0, cx=17
[MQ] Symbol #597: d=0, cx=17
[MQ] Symbol #598: d=0, cx=17
[MQ] Symbol #599: d=0, cx=17
[MQ] Symbol #600: d=0, cx=17
[MQ] Symbol #601: d=0, cx=17
[MQ] Symbol #602: d=0, cx=17
[MQ] Symbol #603: d=0, cx=17
[MQ] Symbol #604: d=0, cx=17
[MQ] Symbol #605: d=0, cx=17
[MQ] Symbol #606: d=0, cx=17
[MQ] Symbol #607: d=0, cx=17
[MQ] Symbol #608: d=0, cx=17
[MQ] Symbol #609: d=0, cx=17
[MQ] Symbol #610: d=0, cx=17
[MQ] Symbol #611: d=0, cx=17
[MQ] Symbol #612: d=0, cx=17
[MQ] Symbol #613: d=0, cx=17
[MQ] Symbol #614: d=0, cx=17
[MQ] Symbol #615: d=0, cx=17
[MQ] Symbol #616: d=0, cx=17
[MQ] Symbol #617: d=0, cx=17
[MQ] Symbol #618: d=0, cx=17
[MQ] Symbol #619: d=0, cx=17
[MQ] Symbol #620: d=0, cx=17
[MQ] Symbol #621: d=0, cx=17
[MQ] Symbol #622: d=0, cx=17
[MQ] Symbol #623: d=0, cx=17
[MQ] Symbol #624: d=0, cx=17
[MQ] Symbol #625: d=0, cx=17
[MQ] Symbol #626: d=0, cx=17
[MQ] Symbol #627: d=0, cx=17
[MQ] Symbol #628: d=0, cx=17
[MQ] Symbol #629: d=0, cx=17
[MQ] Symbol #630: d=0, cx=17
[MQ] Symbol #631: d=0, cx=17
[MQ] Symbol #632: d=0, cx=17
[MQ] Symbol #633: d=0, cx=17
[MQ] Symbol #634: d=0, cx=17
[MQ] Symbol #635: d=0, cx=17
[MQ] Symbol #636: d=0, cx=17
